Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","195","Senegal","5511","Production","2511","Wheat and products","2014","2014","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2511","Wheat and products","2015","2015","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2511","Wheat and products","2016","2016","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2511","Wheat and products","2014","2014","1000 tonnes","589","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2511","Wheat and products","2015","2015","1000 tonnes","624","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2511","Wheat and products","2016","2016","1000 tonnes","640","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2511","Wheat and products","2017","2017","1000 tonnes","683","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2511","Wheat and products","2018","2018","1000 tonnes","679","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2511","Wheat and products","2014","2014","1000 tonnes","27","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2511","Wheat and products","2015","2015","1000 tonnes","-2","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2511","Wheat and products","2016","2016","1000 tonnes","19","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2511","Wheat and products","2017","2017","1000 tonnes","-4","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2511","Wheat and products","2018","2018","1000 tonnes","-39","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2511","Wheat and products","2014","2014","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2511","Wheat and products","2015","2015","1000 tonnes","79","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2511","Wheat and products","2016","2016","1000 tonnes","24","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2511","Wheat and products","2017","2017","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2511","Wheat and products","2018","2018","1000 tonnes","36","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2511","Wheat and products","2014","2014","1000 tonnes","545","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2511","Wheat and products","2015","2015","1000 tonnes","543","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2511","Wheat and products","2016","2016","1000 tonnes","591","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2511","Wheat and products","2017","2017","1000 tonnes","651","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2511","Wheat and products","2018","2018","1000 tonnes","675","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2805","Rice and products","2014","2014","1000 tonnes","559","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2805","Rice and products","2015","2015","1000 tonnes","906","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2805","Rice and products","2016","2016","1000 tonnes","634","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","711","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2805","Rice and products","2018","2018","1000 tonnes","763","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2805","Rice and products","2014","2014","1000 tonnes","1662","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2805","Rice and products","2015","2015","1000 tonnes","1739","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2805","Rice and products","2016","2016","1000 tonnes","1459","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2805","Rice and products","2017","2017","1000 tonnes","1764","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2805","Rice and products","2018","2018","1000 tonnes","1919","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2805","Rice and products","2014","2014","1000 tonnes","203","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2805","Rice and products","2015","2015","1000 tonnes","548","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2805","Rice and products","2016","2016","1000 tonnes","-113","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2805","Rice and products","2017","2017","1000 tonnes","370","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2805","Rice and products","2018","2018","1000 tonnes","461","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2805","Rice and products","2014","2014","1000 tonnes","166","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2805","Rice and products","2015","2015","1000 tonnes","166","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2805","Rice and products","2016","2016","1000 tonnes","207","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2805","Rice and products","2017","2017","1000 tonnes","126","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5911","Export Quantity","2805","Rice and products","2018","2018","1000 tonnes","169","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2805","Rice and products","2014","2014","1000 tonnes","1691","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2805","Rice and products","2015","2015","1000 tonnes","1752","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2805","Rice and products","2016","2016","1000 tonnes","1843","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2805","Rice and products","2017","2017","1000 tonnes","1834","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5142","Food","2805","Rice and products","2018","2018","1000 tonnes","1897","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2513","Barley and products","2014","2014","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2513","Barley and products","2015","2015","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2513","Barley and products","2016","2016","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5511","Production","2513","Barley and products","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2513","Barley and products","2014","2014","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2513","Barley and products","2015","2015","1000 tonnes","65","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2513","Barley and products","2016","2016","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2513","Barley and products","2017","2017","1000 tonnes","112","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5611","Import Quantity","2513","Barley and products","2018","2018","1000 tonnes","124","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2513","Barley and products","2014","2014","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2513","Barley and products","2015","2015","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2513","Barley and products","2016","2016","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","New Food Balances","195","Senegal","5072","Stock Variation","2513","Barley and products","2017","2017","1000 tonnes","0","Im","FAO data based on imputation methodology"
