Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SC","Crops","195","Senegal","5610","Import Quantity","01371","Almonds, with shell","2014","2014","tonnes","7","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01371","Almonds, with shell","2015","2015","tonnes","2","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01371","Almonds, with shell","2016","2016","tonnes","5","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01371","Almonds, with shell","2017","2017","tonnes","6","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01371","Almonds, with shell","2018","2018","tonnes","7","","Official data"
"SC","Crops","195","Senegal","5071","Stock Variation","01371","Almonds, with shell","2014","2014","tonnes","6","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01371","Almonds, with shell","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01371","Almonds, with shell","2016","2016","tonnes","3","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01371","Almonds, with shell","2017","2017","tonnes","3","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01371","Almonds, with shell","2018","2018","tonnes","1","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01371","Almonds, with shell","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01371","Almonds, with shell","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01371","Almonds, with shell","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01371","Almonds, with shell","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01371","Almonds, with shell","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01371","Almonds, with shell","2014","2014","tonnes","1","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01371","Almonds, with shell","2015","2015","tonnes","2","F","FAO estimate"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01371","Almonds, with shell","2016","2016","tonnes","2","F","FAO estimate"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01371","Almonds, with shell","2017","2017","tonnes","3","F","FAO estimate"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01371","Almonds, with shell","2018","2018","tonnes","6","F","FAO estimate"
"SC","Crops","195","Senegal","5610","Import Quantity","01654","Anise, badian, fennel, coriander","2014","2014","tonnes","4","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01654","Anise, badian, fennel, coriander","2015","2015","tonnes","2","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01654","Anise, badian, fennel, coriander","2016","2016","tonnes","9","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01654","Anise, badian, fennel, coriander","2017","2017","tonnes","2","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01654","Anise, badian, fennel, coriander","2018","2018","tonnes","15","","Official data"
"SC","Crops","195","Senegal","5071","Stock Variation","01654","Anise, badian, fennel, coriander","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01654","Anise, badian, fennel, coriander","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01654","Anise, badian, fennel, coriander","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01654","Anise, badian, fennel, coriander","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01654","Anise, badian, fennel, coriander","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01654","Anise, badian, fennel, coriander","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01654","Anise, badian, fennel, coriander","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01654","Anise, badian, fennel, coriander","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01654","Anise, badian, fennel, coriander","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01654","Anise, badian, fennel, coriander","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01654","Anise, badian, fennel, coriander","2014","2014","tonnes","4","F","FAO estimate"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01654","Anise, badian, fennel, coriander","2015","2015","tonnes","2","F","FAO estimate"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01654","Anise, badian, fennel, coriander","2016","2016","tonnes","9","F","FAO estimate"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01654","Anise, badian, fennel, coriander","2017","2017","tonnes","2","F","FAO estimate"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01654","Anise, badian, fennel, coriander","2018","2018","tonnes","15","F","FAO estimate"
"SC","Crops","195","Senegal","5610","Import Quantity","01341","Apples","2014","2014","tonnes","9078","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01341","Apples","2015","2015","tonnes","11342","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01341","Apples","2016","2016","tonnes","12374","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01341","Apples","2017","2017","tonnes","15567","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01341","Apples","2018","2018","tonnes","15804","","Official data"
"SC","Crops","195","Senegal","5071","Stock Variation","01341","Apples","2014","2014","tonnes","-369","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01341","Apples","2015","2015","tonnes","1351","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01341","Apples","2016","2016","tonnes","1861","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01341","Apples","2017","2017","tonnes","4445","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5071","Stock Variation","01341","Apples","2018","2018","tonnes","4159","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5910","Export Quantity","01341","Apples","2014","2014","tonnes","0","","Official data"
"SC","Crops","195","Senegal","5910","Export Quantity","01341","Apples","2015","2015","tonnes","1","","Official data"
"SC","Crops","195","Senegal","5910","Export Quantity","01341","Apples","2016","2016","tonnes","8","","Official data"
"SC","Crops","195","Senegal","5910","Export Quantity","01341","Apples","2017","2017","tonnes","4","","Official data"
"SC","Crops","195","Senegal","5016","Loss","01341","Apples","2014","2014","tonnes","272","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5016","Loss","01341","Apples","2015","2015","tonnes","340","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5016","Loss","01341","Apples","2016","2016","tonnes","371","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5016","Loss","01341","Apples","2017","2017","tonnes","467","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5016","Loss","01341","Apples","2018","2018","tonnes","474","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01341","Apples","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01341","Apples","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01341","Apples","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01341","Apples","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01341","Apples","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01341","Apples","2014","2014","tonnes","9175","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01341","Apples","2015","2015","tonnes","9649","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01341","Apples","2016","2016","tonnes","10134","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01341","Apples","2017","2017","tonnes","10651","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01341","Apples","2018","2018","tonnes","11171","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5610","Import Quantity","01343","Apricots","2014","2014","tonnes","4","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01343","Apricots","2015","2015","tonnes","4","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01343","Apricots","2016","2016","tonnes","10","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01343","Apricots","2017","2017","tonnes","14","","Official data"
"SC","Crops","195","Senegal","5610","Import Quantity","01343","Apricots","2018","2018","tonnes","19","","Official data"
"SC","Crops","195","Senegal","5166","Residuals","01343","Apricots","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01343","Apricots","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01343","Apricots","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01343","Apricots","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5166","Residuals","01343","Apricots","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01343","Apricots","2014","2014","tonnes","4","F","FAO estimate"
"SC","Crops","195","Senegal","5141","Food supply quantity (tonnes)","01343","Apricots","2015","2015","tonnes","4","F","FAO estimate"
